"id","district_nut","fullname","shortname","zip","use"
"901","SK0312","Harvelka","Harvelka","023 05","1"
"902","SK0427","Hatalov","Hatalov","072 16","1"
"903","SK0226","Hatné","Hatné","018 02","1"
"904","SK041B","Havaj","Havaj","090 23","1"
"905","SK0413","Havka","Havka","061 01","1"
"906","SK0215","Havran","Havran","906 04","1"
"907","SK041C","Havranec","Havranec","090 02","1"
"908","SK0313","Havrania","Havrania","027 05","1"
"909","SK042A","Havrania Dolina","Havrania Dolina","053 76","1"
"910","SK0427","Hažín","Hažín","072 34","1"
"911","SK0412","Hažín nad Cirochou","Hažín nad Cirochou","067 83","1"
"912","SK0411","Hažlín","Hažlín","086 14","1"
"913","SK0211","Heďbeneéte","Heďbeneéte","929 01","1"
"914","SK0421","Helcmanovce","Helcmanovce","055 63","1"
"915","SK0323","Heľpa","Heľpa","976 68","1"
"916","SK0428","Henckovce","Henckovce","049 23","1"
"917","SK0421","Henclová","Henclová","053 33","1"
"918","SK041D","Hencovce","Hencovce","093 02","1"
"919","SK0417","Hendrichovce","Hendrichovce","082 35","1"
"920","SK0426","Herľany","Herľany","044 45","1"
"921","SK0326","Herman","Herman","985 53","1"
"922","SK0417","Hermanovce","Hermanovce","082 35","1"
"923","SK041D","Hermanovce nad Topľou","Hermanovce n/ Topľou","094 34","1"
"924","SK0411","Hertník","Hertník","086 42","1"
"925","SK0411","Hervartov","Hervartov","086 22","1"
"926","SK0235","Hetméň","Hetméň","927 01","1"
"927","SK0321","Hiadeľ","Hiadeľ","976 61","1"
"928","SK042A","Hincovce","Hincovce","053 63","1"
"929","SK031A","Hladovka","Hladovka","027 13","1"
"930","SK0312","Hlavice","Hlavice","023 22","1"
"931","SK0226","Hlboké","Hlboké","018 03","1"
"932","SK0215","Hlboké","Hlboké","906 31","1"
"933","SK0311","Hlboké nad Váhom","Hlboké nad Váhom","014 01","1"
"934","SK0312","Hlinené","Hlinené","023 54","1"
"935","SK0315","Hliník","Hliník","032 23","1"
"936","SK0231","Hliník","Hliník","945 01","1"
"937","SK032D","Hliník nad Hronom","Hliník nad Hronom","966 01","1"
"938","SK0311","Hliník nad Váhom","Hliník nad Váhom","014 01","1"
"939","SK041D","Hlinné","Hlinné","094 35","1"
"940","SK0429","Hlivištia","Hlivištia","073 01","1"
"941","SK0213","Hlohovec","Hlohovec",,"1"
"942","SK0228","Hloža","Hloža","018 61","1"
"943","SK041A","Hniezdne","Hniezdne","065 01","1"
"944","SK042A","Hnilčík","Hnilčík","053 32","1"
"945","SK042A","Hnilec","Hnilec","053 75","1"
"946","SK0427","Hnojné","Hnojné","072 33","1"
"947","SK0329","Hnúšťa","Hnúšťa","981 01","1"
"948","SK0329","Hodejov","Hodejov","980 31","1"
"949","SK0329","Hodejovec","Hodejovec","980 02","1"
"950","SK0426","Hodkovce","Hodkovce","044 21","1"
"951","SK042A","Hodkovce","Hodkovce","053 61","1"
"952","SK032C","Hodruša - Hámre","Hodruša - Hámre","966 61","1"
"953","SK0223","Hodulov Vrch","Hodulov Vrch","916 14","1"
"954","SK0232","Hokovce","Hokovce","935 84","1"
"955","SK0231","Holanovo","Holanovo","947 01","1"
"956","SK041D","Holčíkovce","Holčíkovce","094 05","1"
"957","SK0231","Holiare","Holiare","946 16","1"
"958","SK0211","Holice","Holice","930 34","1"
"959","SK0216","Holíč","Holíč","908 51","1"
"960","SK0326","Holiša","Holiša","985 57","1"
"961","SK0233","Holotka","Holotka","951 42","1"
"962","SK0413","Holumnica","Holumnica","059 94","1"
"963","SK0428","Honce","Honce","049 32","1"
"964","SK0232","Hontianska Vrbica","Hontianska Vrbica","935 55","1"
"965","SK0325","Hontianske Moravce","Hontianske Moravce","962 71","1"
"966","SK0325","Hontianske Nemce","Hontianske Nemce","962 65","1"
"967","SK0325","Hontianske Tesáre","Hontianske Tesáre","962 68","1"
"968","SK0232","Hontianske Trsťany","Hontianske Trsťany","935 86","1"
"969","SK0312","Horelica","Horelica","022 01","1"
"970","SK0228","Horenická Hôrka","Horenická Hôrka","020 61","1"
"971","SK0429","Horňa","Horňa","073 01","1"
"972","SK0228","Horná Breznica","Horná Breznica","020 61","1"
"973","SK0215","Horná Dolina","Horná Dolina","906 05","1"
"974","SK0324","Horná Hriňová","Horná Hriňová","962 05","1"
"975","SK0235","Horná Kráľová","Horná Kráľová","951 32","1"
"976","SK0217","Horná Krupá","Horná Krupá","919 65","1"
"977","SK0313","Horná Lehota","Horná Lehota","027 41","1"
"978","SK0323","Horná Lehota","Horná Lehota","976 81","1"
"979","SK0226","Horná Mariková","Horná Mariková","018 03","1"
"980","SK0321","Horná Mičiná","Horná Mičiná","974 01","1"
"981","SK0321","Horná Môlča","Horná Môlča","974 01","1"
"982","SK0222","Horná Poruba","Horná Poruba","018 35","1"
"983","SK0211","Horná Potôň","Horná Potôň","930 36","1"
"984","SK0211","Horná Potôň - Lúky","Horná Potôň - Lúky","930 52","1"
"985","SK0232","Horná Seč","Horná Seč","935 31","1"
"986","SK0224","Horná Streda","Horná Streda","916 24","1"
"987","SK032A","Horná Strehová","Horná Strehová","991 02","1"
"988","SK0229","Horná Súča","Horná Súča","913 33","1"
"989","SK0319","Horná Štubňa","Horná Štubňa","038 46","1"
"990","SK031B","Horná Tižina","Horná Tižina","013 06","1"
"991","SK032D","Horná Trnávka","Horná Trnávka","966 01","1"
"992","SK032D","Horná Ves","Horná Ves","967 01","1"
"993","SK0227","Horná Ves","Horná Ves","972 48","1"
"994","SK0229","Horná Závrská","Horná Závrská","913 33","1"
"995","SK0231","Horná Zlatná","Horná Zlatná","946 12","1"
"996","SK032D","Horná Ždaňa","Horná Ždaňa","966 04","1"
"997","SK0229","Horňany","Horňany","913 24","1"
"998","SK032B","Horné Breziny","Horné Breziny","962 61","1"
"999","SK0221","Horné Držkovce","Horné Držkovce","956 54","1"
"1000","SK0217","Horné Dubové","Horné Dubové","919 65","1"
"1001","SK032C","Horné Hámre","Horné Hámre","966 71","1"
"1002","SK0236","Horné Chlebany","Horné Chlebany","956 31","1"
"1003","SK0211","Horné Janíky","Horné Janíky","930 39","1"
"1004","SK0316","Horné Jaseno","Horné Jaseno","038 02","1"
"1005","SK0228","Horné Kočkovce","Horné Kočkovce","020 01","1"
"1006","SK0223","Horné Košariská","Horné Košariská","906 15","1"
"1007","SK0233","Horné Krškany","Horné Krškany","949 05","1"
"1008","SK0233","Horné Lefantovce","Horné Lefantovce","951 45","1"
"1009","SK0227","Horné Lelovce","Horné Lelovce","972 71","1"
"1010","SK0217","Horné Lovčice","Horné Lovčice","919 27","1"
"1011","SK0325","Horné Mladonice","Horné Mladonice","962 43","1"
"1012","SK0229","Horné Motešice","Horné Motešice","913 26","1"
"1013","SK0211","Horné Mýto","Horné Mýto","930 13","1"
"1014","SK0221","Horné Naštice","Horné Naštice","956 41","1"
"1015","SK0236","Horné Obdokovce","Horné Obdokovce","956 08","1"
"1016","SK0217","Horné Orešany","Horné Orešany","919 03","1"
"1017","SK0213","Horné Otrokovce","Horné Otrokovce","920 62","1"
"1018","SK0221","Horné Ozorovce","Horné Ozorovce","957 03","1"
"1019","SK032A","Horné Plachtince","Horné Plachtince","991 24","1"
"1020","SK032A","Horné Príbelce","Horné Príbelce","991 25","1"
"1021","SK0321","Horné Pršany","Horné Pršany","974 05","1"
"1022","SK0325","Horné Rykynčice","Horné Rykynčice","962 55","1"
"1023","SK0212","Horné Saliby","Horné Saliby","925 03","1"
"1024","SK0212","Horné Saliby - časť Hrušov","Horné Saliby - Hrušov","925 02","1"
"1025","SK0232","Horné Semerovce","Horné Semerovce","935 84","1"
"1026","SK0237","Horné Sľažany","Horné Sľažany","951 71","1"
"1027","SK0229","Horné Srnie","Horné Srnie","914 42","1"
"1028","SK032A","Horné Strháre","Horné Strháre","991 03","1"
"1029","SK0236","Horné Štitáre","Horné Štitáre","956 03","1"
"1030","SK0213","Horné Trhovište","Horné Trhovište","920 66","1"
"1031","SK0232","Horné Turovce","Horné Turovce","935 81","1"
"1032","SK0227","Horné Vestenice","Horné Vestenice","972 22","1"
"1033","SK0329","Horné Zahorany","Horné Zahorany","980 26","1"
"1034","SK0213","Horné Zelenice","Horné Zelenice","920 52","1"
"1035","SK0325","Horný Badín","Horný Badín","962 51","1"
"1036","SK0211","Horný Bar","Horný Bar","930 33","1"
"1037","SK0212","Horný Čepeň","Horný Čepeň","926 01","1"
"1038","SK0232","Horný Ďur","Horný Ďur","935 34","1"
"1039","SK031B","Horný Hričov","Horný Hričov","013 42","1"
"1040","SK0325","Horný Jalšovík","Horný Jalšovík","962 41","1"
"1041","SK0235","Horný Jatov","Horný Jatov","925 71","1"
"1042","SK0321","Horný Jelenec","Horný Jelenec","976 02","1"
"1043","SK0316","Horný Kalník","Horný Kalník","038 02","1"
"1044","SK0226","Horný Lieskov","Horný Lieskov","018 21","1"
"1045","SK0226","Horný Moštenec","Horný Moštenec","017 01","1"
"1046","SK0233","Horný Ohaj","Horný Ohaj","952 01","1"
"1047","SK0232","Horný Pial","Horný Pial","935 37","1"
"1048","SK0416","Horný Smokovec","Horný Smokovec","062 01","1"
"1049","SK031A","Horný Štefanov","Horný Štefanov","027 44","1"
"1050","SK0324","Horný Tisovník","Horný Tisovník","962 75","1"
"1051","SK0319","Horný Turček","Horný Turček","038 48","1"
"1052","SK0314","Horný Vadičov","Horný Vadičov","023 45","1"
"1053","SK0233","Horný Vinodol","Horný Vinodol","951 06","1"
"1054","SK0228","Horovce","Horovce","020 62","1"
"1055","SK0427","Horovce","Horovce","072 02","1"
"1056","SK0232","Horša","Horša","934 01","1"
"1057","SK0212","Hoste","Hoste","925 45","1"
"1058","SK0329","Hostice","Hostice","980 04","1"
"1059","SK0237","Hostie","Hostie","951 94","1"
"1060","SK0329","Hostišovce","Hostišovce","980 23","1"
"1061","SK0233","Hosťová","Hosťová","951 02","1"
"1062","SK0426","Hosťovce","Hosťovce","044 02","1"
"1063","SK0237","Hosťovce","Hosťovce","951 91","1"
"1064","SK0419","Hostovice","Hostovice","067 35","1"
"1065","SK0228","Hoštiná","Hoštiná","020 01","1"
"1066","SK0416","Hozelec","Hozelec","059 11","1"
"1067","SK0416","Hôrka","Hôrka","059 12","1"
"1068","SK0224","Hôrka nad Váhom","Hôrka nad Váhom","916 32","1"
"1069","SK031B","Hôrky","Hôrky","010 04","1"
"1070","SK032C","Hrabičov","Hrabičov","966 78","1"
"1071","SK0417","Hrabkov","Hrabkov","082 33","1"
"1072","SK0419","Hrabová Roztoka","Hrabová Roztoka","067 73","1"
"1073","SK041C","Hrabovčík","Hrabovčík","089 01","1"
"1074","SK0311","Hrabové","Hrabové","014 01","1"
"1075","SK0411","Hrabovec","Hrabovec","086 11","1"
"1076","SK0412","Hrabovec nad Laborcom","Hrabovec n/ Laborcom","067 01","1"
"1077","SK0228","Hrabovka","Hrabovka","020 01","1"
"1078","SK0229","Hrabovka","Hrabovka","913 32","1"
"1079","SK0327","Hrabovo","Hrabovo","985 01","1"
"1080","SK0411","Hrabské","Hrabské","086 06","1"
"1081","SK042A","Hrabušice","Hrabušice","053 15","1"
"1082","SK0413","Hradisko","Hradisko","059 71","1"
"1083","SK0417","Hradisko","Hradisko","082 67","1"
"1084","SK041C","Hradisko","Hradisko","090 42","1"
"1085","SK0225","Hradište","Hradište","958 54","1"
"1086","SK0327","Hradište","Hradište","985 25","1"
"1087","SK0215","Hradište pod Vrátnom","Hradište pod Vrátnom","906 12","1"
"1088","SK0427","Hradištská Moľva","Hradištská Moľva","072 06","1"
"1089","SK0311","Hradná","Hradná","013 52","1"
"1090","SK0224","Hrádok","Hrádok","916 33","1"
"1091","SK0224","Hrachovište","Hrachovište","916 16","1"
"1092","SK0329","Hrachovo","Hrachovo","980 52","1"
"1093","SK042B","Hraň","Hraň","076 03","1"
"1094","SK041A","Hraničné","Hraničné","065 22","1"
"1095","SK0416","Hranovnica","Hranovnica","059 16","1"
"1096","SK0223","Hrašné","Hrašné","916 14","1"
"1097","SK0426","Hrašovík","Hrašovík","044 42","1"
"1098","SK0318","Hrboltová","Hrboltová","034 01","1"
"1099","SK042B","Hrčeľ","Hrčeľ","076 15","1"
"1100","SK0428","Hrhov","Hrhov","049 44","1"
"1101","SK042B","Hriadky","Hriadky","076 22","1"
"1102","SK031B","Hričovské Podhradie","Hričovské Podhradie","013 41","1"
"1103","SK0324","Hriňová","Hriňová","962 05","1"
"1104","SK0421","Hrišovce","Hrišovce","053 51","1"
"1105","SK0329","Hrkáč","Hrkáč","982 62","1"
"1106","SK0232","Hrkovce","Hrkovce","936 01","1"
"1107","SK0328","Hrlica","Hrlica","982 66","1"
"1108","SK0327","Hrnčiarky","Hrnčiarky","985 22","1"
"1109","SK0217","Hrnčiarovce nad Parnou","Hrnčiarovce n/Parnou","919 35","1"
"1110","SK0224","Hrnčiarové","Hrnčiarové","916 12","1"
"1111","SK0327","Hrnčiarska Ves","Hrnčiarska Ves","980 13","1"
"1112","SK0327","Hrnčiarske Zalužany","Hrnčiarske Zalužany","980 12","1"
"1113","SK0321","Hrochoť","Hrochoť","976 37","1"
"1114","SK041A","Hromoš","Hromoš","065 45","1"
"1115","SK0323","Hronec","Hronec","976 45","1"
"1116","SK0232","Hronovce","Hronovce","935 61","1"
"1117","SK0321","Hronsek","Hronsek","976 31","1"
"1118","SK032B","Hronská Breznica","Hronská Breznica","966 11","1"
"1119","SK032D","Hronská Dúbrava","Hronská Dúbrava","966 11","1"
"1120","SK0232","Hronské Kľačany","Hronské Kľačany","935 29","1"
"1121","SK0232","Hronské Kosihy","Hronské Kosihy","935 27","1"
"1122","SK032C","Hronský Beňadik","Hronský Beňadik","966 53","1"
"1123","SK0108","Hrubá Borša","Hrubá Borša","925 23","1"
"1124","SK0224","Hrubá Strana","Hrubá Strana","916 11","1"
"1125","SK0233","Hruboňovo","Hruboňovo","951 25","1"
"1126","SK0412","Hrubov","Hrubov","067 23","1"
"1127","SK0312","Hrubý Buk","Hrubý Buk","023 52","1"
"1128","SK0108","Hrubý Šúr","Hrubý Šúr","903 01","1"
"1129","SK0428","Hrušov","Hrušov","049 43","1"
"1130","SK042B","Hrušov","Hrušov","076 37","1"
"1131","SK032A","Hrušov","Hrušov","991 42","1"
"1132","SK0236","Hrušovany","Hrušovany","956 13","1"
"1133","SK0224","Hrušové","Hrušové","916 11","1"
"1134","SK0329","Hrušovo","Hrušovo","980 25","1"
"1135","SK0317","Hruštín","Hruštín","029 52","1"
"1136","SK0211","Hubice","Hubice","930 39","1"
"1137","SK0214","Hubina","Hubina","922 21","1"
"1138","SK0418","Hubošovce","Hubošovce","082 66","1"
"1139","SK0318","Hubová","Hubová","034 91","1"
"1140","SK0329","Hubovo","Hubovo","980 50","1"
"1141","SK0328","Hucín","Hucín","049 13","1"
"1142","SK0412","Hudcovce","Hudcovce","067 45","1"
"1143","SK0234","Hul","Hul","941 44","1"
"1144","SK0412","Humenné","Humenné","066 01","1"
"1145","SK0413","Huncovce","Huncovce","059 92","1"
"1146","SK042B","Hunkovce","Hunkovce","076 62","1"
"1147","SK041C","Hunkovce","Hunkovce","090 03","1"
"1148","SK0223","Hurbanova Dolina","Hurbanova Dolina","906 13","1"
"1149","SK0108","Hurbanova Ves","Hurbanova Ves","903 01","1"
"1150","SK0234","Hurbanovce","Hurbanovce","941 50","1"
"1151","SK0231","Hurbanovo","Hurbanovo",,"1"
"1152","SK0429","Husák","Husák","072 51","1"
"1153","SK0312","Husarik","Husarik","022 04","1"
"1154","SK0329","Husiná","Husiná","985 42","1"
"1155","SK0411","Hutka","Hutka","086 36","1"
"1156","SK0315","Huty","Huty","027 32","1"
"1157","SK0211","Hviezdoslavov","Hviezdoslavov","930 41","1"
"1158","SK0311","Hvozdnica","Hvozdnica","013 56","1"
"1159","SK0315","Hybe","Hybe","032 31","1"
"1160","SK0426","Hýľov","Hýľov","044 12","1"
"1161","SK0227","Chalmová","Chalmová","972 45","1"
"1162","SK0329","Chanava","Chanava","980 44","1"
"1163","SK0234","Chľaba","Chľaba","943 65","1"
"1164","SK0327","Chladná Studňa","Chladná Studňa","985 26","1"
"1165","SK0313","Chlebnice","Chlebnice","027 55","1"
"1166","SK0412","Chlmec","Chlmec","067 41","1"
"1167","SK041A","Chmeľnica","Chmeľnica","064 01","1"
"1168","SK0417","Chmeľov","Chmeľov","082 15","1"
"1169","SK0411","Chmeľová","Chmeľová","086 33","1"
"1170","SK0417","Chmeľovec","Chmeľovec","082 12","1"
"1171","SK0417","Chmiňany","Chmiňany","082 33","1"
"1172","SK0417","Chminianska Nová Ves","Chminianska Nová Ves","082 33","1"
"1173","SK0417","Chminianske Jakubovany","Chminian. Jakubovany","082 33","1"
"1174","SK0237","Choča","Choča","951 76","1"
"1175","SK0229","Chocholná","Chocholná","913 04","1"
"1176","SK0429","Choňkovce","Choňkovce","072 63","1"
"1177","SK0232","Chorvatice","Chorvatice","935 84","1"
"1178","SK0108","Chorvátsky Grob","Chorvátsky Grob","900 25","1"
"1179","SK0426","Chorváty","Chorváty","044 02","1"
"1180","SK032C","Chotár","Chotár","968 01","1"
"1181","SK041B","Chotča","Chotča","090 21","1"
"1182","SK0231","Chotín","Chotín","946 31","1"
"1183","SK0236","Chrabrany","Chrabrany","955 01","1"
"1184","SK0329","Chrámec","Chrámec","980 42","1"
"1185","SK0231","Chrasť","Chrasť","946 54","1"
"1186","SK042A","Chrasť nad Hornádom","Chrasť nad Hornádom","053 63","1"
"1187","SK032A","Chrastince","Chrastince","991 08","1"
"1188","SK0426","Chrastné","Chrastné","044 44","1"
"1189","SK0237","Chrašťany","Chrašťany","951 75","1"
"1190","SK0233","Chrenová","Chrenová","949 01","1"
"1191","SK0227","Chrenovec - Brusno","Chrenovec - Brusno","972 32","1"
"1192","SK0216","Chropov","Chropov","908 64","1"
"1193","SK032A","Chrťany","Chrťany","991 21","1"
"1194","SK0214","Chtelnica","Chtelnica","922 05","1"
"1195","SK0221","Chudá Lehota","Chudá Lehota","956 38","1"
"1196","SK0328","Chvalová","Chvalová","982 62","1"
"1197","SK0323","Chvatimech","Chvatimech","976 81","1"
"1198","SK0223","Chvojnica","Chvojnica","906 06","1"
"1199","SK0227","Chvojnica","Chvojnica","972 13","1"
"1200","SK0426","Chym","Chym","044 74","1"
"1201","SK0225","Chynorany","Chynorany","956 33","1"
"1202","SK0237","Chyzerovce","Chyzerovce","953 01","1"
"1203","SK0328","Chyžné","Chyžné","049 18","1"
"1204","SK0108","Igram","Igram","900 84","1"
"1205","SK0413","Ihľany","Ihľany","059 94","1"
"1206","SK032D","Ihráč","Ihráč","967 01","1"
"1207","SK0228","Ihrište","Ihrište","020 01","1"
"1208","SK0315","Iľanovo","Iľanovo","031 01","1"
"1209","SK0222","Ilava","Ilava","019 01","1"
"1210","SK0321","Iliaš","Iliaš","974 05","1"
"1211","SK032A","Iliašov","Iliašov","991 07","1"
"1212","SK042A","Iliašovce","Iliašovce","053 11","1"
"1213","SK0222","Iliavka","Iliavka","019 01","1"
"1214","SK0322","Ilija","Ilija","969 01","1"
"1215","SK0231","Imeľ","Imeľ","946 52","1"
"1216","SK032A","Imrov Kopec","Imrov Kopec","991 21","1"
"1217","SK0232","Iňa","Iňa","935 35","1"
"1218","SK0427","Iňačovce","Iňačovce","072 11","1"
"1219","SK0429","Inovce","Inovce","072 64","1"
"1220","SK0327","Ipeľ","Ipeľ","985 26","1"
"1221","SK0326","Ipeľka","Ipeľka","985 41","1"
"1222","SK032A","Ipeľské Predmostie","Ipeľské Predmostie","991 10","1"
"1223","SK0232","Ipeľské Úľany","Ipeľské Úľany","935 82","1"
"1224","SK0232","Ipeľský Sokolec","Ipeľský Sokolec","935 75","1"
"1225","SK0313","Istebné","Istebné","027 53","1"
"1226","SK0229","Istebník","Istebník","911 05","1"
"1227","SK0318","Ivachnová","Ivachnová","034 83","1"
"1228","SK0319","Ivančiná","Ivančiná","038 45","1"
"1229","SK0329","Ivanice","Ivanice","980 42","1"
"1230","SK0324","Ivanišovo","Ivanišovo","985 51","1"
"1231","SK0108","Ivanka pri Dunaji","Ivanka pri Dunaji","900 28","1"
"1232","SK0233","Ivanka pri Nitre","Ivanka pri Nitre","951 12","1"
"1233","SK0229","Ivanovce","Ivanovce","913 05","1"
"1234","SK0324","Iviny","Iviny","962 12","1"
"1235","SK0231","Iža","Iža","946 39","1"
"1236","SK0315","Ižipovce","Ižipovce","032 23","1"
"1237","SK0427","Ižkovce","Ižkovce","076 72","1"
"1238","SK0211","Ižop","Ižop","932 01","1"
"1239","SK0412","Jabloň","Jabloň","067 13","1"
"1240","SK0107","Jablonec","Jablonec","900 86","1"
"1241","SK0215","Jablonica","Jablonica","906 32","1"
"1242","SK0223","Jablonka","Jablonka","906 21","1"
"1243","SK0414","Jablonov","Jablonov","053 03","1"
"1244","SK0428","Jablonov nad Turňou","Jablonov nad Turňou","049 43","1"
"1245","SK0232","Jabloňovce","Jabloňovce","935 06","1"
"1246","SK0311","Jablonové","Jablonové","013 52","1"
"1247","SK0106","Jablonové","Jablonové","900 54","1"
"1248","SK0321","Jabriková","Jabriková","976 34","1"
"1249","SK0236","Jacovce","Jacovce","956 21","1"
"1250","SK0211","Jahodná","Jahodná","930 21","1"
"1251","SK0316","Jahodníky","Jahodníky","036 01","1"
"1252","SK0421","Jaklovce","Jaklovce","055 61","1"
"1253","SK0418","Jakovany","Jakovany","083 01","1"
"1254","SK0321","Jakub","Jakub","974 01","1"
"1255","SK041A","Jakubany","Jakubany","065 12","1"
"1256","SK0106","Jakubov","Jakubov","900 63","1"
"1257","SK0418","Jakubova Voľa","Jakubova Voľa","082 56","1"
"1258","SK0315","Jakubovany","Jakubovany","032 04","1"
"1259","SK0418","Jakubovany","Jakubovany","083 01","1"
"1260","SK041B","Jakušovce","Jakušovce","090 31","1"
"1261","SK0232","Jalakšová","Jalakšová","935 03","1"
"1262","SK032D","Jalná","Jalná","966 11","1"
"1263","SK0419","Jalová","Jalová","067 61","1"
"1264","SK0315","Jalovec","Jalovec","032 21","1"
"1265","SK0227","Jalovec","Jalovec","972 31","1"
"1266","SK0213","Jalšové","Jalšové","922 31","1"
"1267","SK0325","Jalšovík","Jalšovík","962 41","1"
"1268","SK0315","Jamník","Jamník","033 01","1"
"1269","SK042A","Jamník","Jamník","053 22","1"
"1270","SK0329","Janice","Janice","980 42","1"
"1271","SK0426","Janík","Janík","044 05","1"
"1272","SK0233","Janíkovce","Janíkovce","949 07","1"
"1273","SK0211","Janíky","Janíky","930 39","1"
"1274","SK0412","Jankovce","Jankovce","067 24","1"
"1275","SK0108","Jánošíková","Jánošíková","900 42","1"
"1276","SK0211","Jánošíkovo na Ostrove","Jánošíkovo na Ostrov","930 10","1"
"1277","SK0323","Jánošovka","Jánošovka","976 52","1"
"1278","SK0417","Janov","Janov","082 42","1"
"1279","SK032D","Janova Lehota","Janova Lehota","966 24","1"
"1280","SK0225","Janova Ves","Janova Ves","958 44","1"
"1281","SK0411","Janovce","Janovce","086 41","1"
"1282","SK0416","Jánovce","Jánovce","059 13","1"
"1283","SK0212","Jánovce","Jánovce","925 22","1"
"1284","SK0417","Janovík","Janovík","082 03","1"
"1285","SK0323","Jarabá","Jarabá","977 01","1"
"1286","SK041A","Jarabina","Jarabina","065 31","1"
"1287","SK0217","Jarná","Jarná","919 43","1"
"1288","SK0232","Jarok","Jarok","937 01","1"
"1289","SK0233","Jarok","Jarok","951 48","1"
"1290","SK0418","Jarovnice","Jarovnice","082 63","1"
"1291","SK0226","Jasenica","Jasenica","018 17","1"
"1292","SK0323","Jasenie","Jasenie","976 75","1"
"1293","SK0412","Jasenov","Jasenov","066 01","1"
"1294","SK0429","Jasenov","Jasenov","072 42","1"
"1295","SK0313","Jasenová","Jasenová","026 01","1"
"1296","SK041D","Jasenovce","Jasenovce","094 05","1"
"1297","SK031B","Jasenové","Jasenové","013 19","1"
"1298","SK0319","Jasenovo","Jasenovo","038 22","1"
"1299","SK0324","Jasenovo","Jasenovo","962 05","1"
"1300","SK0317","Jasenovská","Jasenovská","029 57","1"
"1301","SK0217","Jaslovce","Jaslovce","919 30","1"
"1302","SK0217","Jaslovské Bohunice","Jaslovské Bohunice","919 30","1"
"1303","SK0217","Jaslovské Bohunice-Atómová elektráreň","Jas.Bohunice-At.el.","919 31","1"
"1304","SK0426","Jasov","Jasov","044 23","1"
"1305","SK0234","Jasová","Jasová","941 34","1"
"1306","SK032D","Jastrabá","Jastrabá","967 01","1"
"1307","SK0427","Jastrabie pri Michalovciach","Jastrabie pri Michal","072 11","1"
"1308","SK0211","Jastrabie Kračany","Jastrabie Kračany","930 03","1"
"1309","SK041D","Jastrabie nad Topľou","Jastrabie nad Topľou","094 35","1"
"1310","SK0324","Jašov Vrch","Jašov Vrch","962 25","1"
"1311","SK0234","Jatov","Jatov","941 10","1"
"1312","SK0215","Javorec","Javorec","906 05","1"
"1313","SK0416","Javorina","Javorina","059 56","1"
"1314","SK0323","Javorina","Javorina","976 53","1"
"1315","SK0212","Javorinka","Javorinka","925 01","1"
"1316","SK0312","Javorová","Javorová","023 22","1"
"1317","SK0319","Jazernica","Jazernica","038 44","1"
"1318","SK0224","Jazviny","Jazviny","916 01","1"
"1319","SK0411","Jedlinka","Jedlinka","086 36","1"
"1320","SK0237","Jedľové Kostoľany","Jedľové Kostoľany","951 96","1"
"1321","SK0312","Jedľovník","Jedľovník","023 55","1"
"1322","SK0233","Jelenec","Jelenec","951 73","1"
"1323","SK0212","Jelka","Jelka","925 23","1"
"1324","SK0328","Jelšava","Jelšava","049 16","1"
"1325","SK0328","Jelšavská Teplica","Jelšavská Teplica","049 16","1"
"1326","SK0233","Jelšovce","Jelšovce","951 43","1"
"1327","SK0326","Jelšovec","Jelšovec","985 32","1"
"1328","SK0429","Jenkovce","Jenkovce","072 52","1"
"1329","SK0321","Jergaly","Jergaly","976 02","1"
"1330","SK0232","Jesenské","Jesenské","935 36","1"
"1331","SK0329","Jesenské","Jesenské","980 02","1"
"1332","SK0329","Jestice","Jestice","980 04","1"
"1333","SK0225","Ješkova Ves","Ješkova Ves","958 45","1"
"1334","SK0413","Jezersko","Jezersko","059 04","1"
"1335","SK0227","Ješkova Ves nad Nitricou","Ješkova Ves n/N.","972 25","1"
"1336","SK0428","Jovice","Jovice","049 45","1"
"1337","SK0427","Jovsa","Jovsa","072 32","1"
"1338","SK0232","Jur nad Hronom","Jur nad Hronom","935 57","1"
"1339","SK041C","Jurkova Voľa","Jurkova Voľa","089 01","1"
"1340","SK0211","Jurová","Jurová","930 04","1"
"1341","SK0413","Jurské","Jurské","059 94","1"
"1342","SK0234","Jurský Chlm","Jurský Chlm","943 52","1"
"1343","SK041D","Juskova Voľa","Juskova Voľa","094 12","1"
"1344","SK0427","Kačanov","Kačanov","072 05","1"
"1345","SK041A","Kače","Kače","065 22","1"
"1346","SK0212","Kajal","Kajal","925 92","1"
"1347","SK0319","Kaľamenová","Kaľamenová","038 22","1"
"1348","SK0318","Kalameny","Kalameny","034 82","1"
"1349","SK042A","Kaľava","Kaľava","053 42","1"
"1350","SK0232","Kalinčiakovo","Kalinčiakovo","934 01","1"
"1351","SK0324","Kalinka","Kalinka","962 25","1"
"1352","SK0108","Kalinkovo","Kalinkovo","900 43","1"
"1353","SK0312","Kalinov","Kalinov","023 02","1"
"1354","SK0415","Kalinov","Kalinov","068 01","1"
"1355","SK0327","Kalinovo","Kalinovo","985 01","1"
"1356","SK0232","Kalná","Kalná","935 32","1"
"1357","SK0232","Kalná nad Hronom","Kalná nad Hronom","935 32","1"
"1358","SK0419","Kalná Roztoka","Kalná Roztoka","067 72","1"
"1359","SK0224","Kálnica","Kálnica","916 37","1"
"1360","SK0232","Kalnica","Kalnica","935 32","1"
"1361","SK041C","Kalnište","Kalnište","087 01","1"
